Unnamed: 0,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure,variant,model_type,M-of-N count (std),RMSE (test) (std),MAE (test) (std),MAPE (test) (std),rRMSE (test) (std),rMAE (test) (std),rMAPE (test) (std),maxError (test) (std),R2 (test) (std),RMSE (train) (std),MAE (train) (std),MAPE (train) (std),rRMSE (train) (std),rMAE (train) (std),rMAPE (train) (std),maxError (train) (std),R2 (train) (std),rules (std),plain conditions count (std),complex conditions count (std),conditions_count (std),avg conditions per rule (std),avg rule quality (std),avg rule precision (std),avg rule coverage (std),training time total (s) (std),training time growing (s) (std),training time pruning (s) (std),pvalue significance fdr (std),pvalue significance fwer (std),p / P,avg rule support
0,auto93,0.4986432741739647,0.3416002951995701,0.257552421315437,44285527641884.66,0.8798048468094132,0.6411682355216095,442855276418.8466,0.721914416906809,-0.2371108221236389,0.1256748227413978,0.0757696845955413,2653300479371.862,0.5503034811531509,0.3325966413537205,26533004793.71862,0.5786628107206236,0.5172333349643409,13.666666666666666,2.117889412023044,0.8497707574465887,48.888888888888886,3.392511072647475,0.5222316882234513,0.8021422523975172,0.15456646395441,1.0645932621426053,0.4792239283333333,0.1262017688888888,0.6875060637635233,0.5566951842953548,C2,C2,C2,no_discretization,exact_M-of-N,9.01541889086568,0.0845668704886431,0.0935044745006171,41820741668181.53,0.1412927680431231,0.1003257796381522,418207416681.8153,0.0717505550399039,0.6032773466892677,0.0161968378477525,0.0124744045801027,866013020578.6967,0.0796873537908172,0.0636297406775498,8660130205.786966,0.0954766042885394,0.1176202090140475,5.26782687642637,19.71110797945609,10.158466638447186,26.464336589287687,0.6345174744668859,0.046530785237533,0.0179435488726625,0.0475000488744592,0.9903763405503015,0.3677391073356369,0.1081464765147835,0.1224055053189629,0.1996092795299413,407.0081936429478,0.150238181948203
0,auto93,0.0,0.3672720071837526,0.2744322905773127,39061863875568.96,0.9430207740915592,0.6782899396494829,390618638755.6896,0.7678694766334111,-0.4403637449325948,0.109647839180408,0.0685747063827504,3976859519843.7646,0.4778872189180434,0.2983670197002172,39768595198.437645,0.5391797590205347,0.6356862066540935,14.77777777777778,2.8501416565890247,0.0,43.0,2.8489390726232835,0.4781955879151383,0.7611157340021613,0.1312284567614156,0.1698549128888888,0.1493780152222221,0.0133909801111111,0.5232963673753148,0.3785964766227924,C2,C2,C2,no_discretization,plain,0.0,0.0954077713746909,0.1036567558184747,8867573858943.13,0.130410998223329,0.0790013173636823,88675738589.43129,0.1234737572337048,0.7919806675432718,0.0136327164622704,0.008992322052629,678921929272.5077,0.0436694464652558,0.0222617960189732,6789219292.725079,0.112387133511095,0.067471901737098,3.1534813214040835,6.166666666666667,9.713964747265202,14.256577429383254,0.4012683405817769,0.0302318675069713,0.0358779393142079,0.0215370996818509,0.058439112165725,0.0499071087016504,0.008128630428082,0.1499378355830022,0.0545719289569251,346.6899750845185,0.1281306737419157
0,bodyfat,0.0636732632929387,0.1683723178160282,0.1364050209403956,48755634103142.53,0.3546879765554577,0.2850459232502352,487556341031.4252,0.3907988253259329,0.5420545896599044,0.0727304855568763,0.0451998992793164,7027828088972.972,0.1766200789353267,0.1097261552095637,70278280889.7297,0.4745493688214393,0.8320006009585017,23.11111111111111,2.7861309740518663,2.034859782993657,113.66666666666669,4.777831817470086,0.6194702001679437,0.8314746303791714,0.0975281609988309,26.105695247650143,4.394558362555555,3.975114012444444,0.9286827551533436,0.8525496552879921,C2,C2,C2,no_discretization,at_least_M-of-N,2.1666666666666665,0.027800440734393,0.033182114127753,23799918890318.81,0.0391469958134453,0.04074228858005,237999188903.18805,0.0502367497972688,0.1646246939666516,0.0135583712092494,0.0085390114855252,2703150217017.918,0.0293890301807083,0.0182870077239656,27031502170.17918,0.0776708733949609,0.0553607580205959,7.339012952101332,37.606515392947536,10.52114273472442,47.4894725176012,0.7956079335097712,0.0362507529410767,0.0179667499585109,0.0248451720743969,26.45040371798603,1.947172182538412,2.0587109188450343,0.0714304986150406,0.1055507169015519,154.20589481721635,0.0947390860036581
0,bodyfat,0.0,0.1632258685977598,0.1301050939204131,38599913759283.05,0.3460304675587246,0.2703197088673861,385999137592.8304,0.3962173531440496,0.5573067901943656,0.0623344113170277,0.0299313915250668,5053797734183.046,0.1516901268414048,0.0726745799412976,50537977341.83047,0.585943114842362,0.8787385405134016,43.66666666666666,0.7375610450829344,2.3730251540400342,145.22222222222223,3.280476358426436,0.7237813051820093,0.8474721528439318,0.0566975460362814,859.5637240867777,816.0222439515555,43.52210177944444,0.9820517742721736,0.9624472072991854,C2,C2,C2,no_discretization,complex,0.0,0.0323428757236703,0.0408603403833325,14290359215354.928,0.0755702867245812,0.0592102203326776,142903592153.5493,0.1417560748000903,0.2149699924297193,0.0056990109007392,0.0041877609855977,1982976100832.5305,0.0108894230227677,0.0074161078142953,19829761008.325302,0.1044959761225286,0.0184887446613685,7.106335201775948,18.57417562100671,21.360659581992728,40.874129280566265,0.5509925940393661,0.0254372738629244,0.0151948155068359,0.0085005933963484,382.7685902919192,373.58204302604497,11.471181558747448,0.0210180846623109,0.0299670961215088,67.71418870631928,0.0574069849263842
0,bodyfat,0.5319329399739333,0.1695425924726498,0.1405437758513702,40167913568656.24,0.3534285702132892,0.2918399633657192,401679135686.5624,0.3812561943253945,0.5442059254647653,0.0734531285905826,0.0445685869822791,6428264544899.396,0.1792416332279086,0.1088576562882079,64282645448.99395,0.5094999422079209,0.8282156715558509,30.55555555555556,2.6764952899280585,1.9045902019973373,157.77777777777777,5.058909368777033,0.5993581200093098,0.8349166849354681,0.0860766889504616,26.87033936712477,4.955797208444444,3.923574311111111,0.8778660795133345,0.747047756148718,C2,C2,C2,no_discretization,exact_M-of-N,9.89668855953568,0.035488112760541,0.0352654730612557,16813288179110.928,0.0348518872536126,0.0402124615836627,168132881791.10925,0.0662231481646438,0.1619583134183247,0.0113098164714336,0.0066819812377957,3083643245933.177,0.0295743636175816,0.0180293017930452,30836432459.331764,0.0910764681471675,0.0541106782213824,8.079466429027214,38.63108995499753,12.712635883683252,54.04807530749309,0.636202057250723,0.0489011037498942,0.0285645941881107,0.0228319799979544,28.64872192744697,2.3336446469620067,2.188361878075608,0.0700454630815538,0.1641159517508104,96.73562552612232,0.08580382181753
0,bodyfat,0.0,0.1816076141135542,0.1468939627996418,30525369983423.45,0.3761881689636394,0.3030289017728098,305253699834.23444,0.3981455649335574,0.4581863599952452,0.0888204940215894,0.0628848605353324,4078676978732.975,0.2159108936237301,0.1529489965711434,40786769787.32974,0.3563956671039244,0.7465915936283588,29.666666666666668,2.8878362460953624,0.0,104.0,3.3633763129321803,0.5292062500751585,0.7766042580440817,0.0726429318744236,174.5118116258889,132.47615048355556,42.02905920600001,0.7085930350306228,0.5838358235681751,C2,C2,C2,no_discretization,plain,0.0,0.0534413768537954,0.0495549368322941,12555355378491.86,0.0662265460068077,0.0648647429622311,125553553784.91862,0.0653335477561882,0.3087080913817706,0.0192569519353582,0.0172594390765721,1953297994057.457,0.0447104825096868,0.0416302445295265,19532979940.574574,0.041089767649805,0.0946046464560846,12.072696467649637,7.937253933193772,35.26683994916471,47.814746679241125,0.7737585980162853,0.0504661124220781,0.0066083432187344,0.0251460119678976,126.62718363072554,90.63830242097,37.46909862441195,0.1204919904154388,0.1439690955131359,131.9731146145251,0.0720035116114137
0,bolts,0.4193181818181818,0.2939234609639703,0.2354367051707633,105853706593952.78,0.6488593898760331,0.5275602108950932,1058537065939.5278,0.4945818827224398,0.2697380698602528,0.1746052193564202,0.0986077003035926,11105575974956.87,0.5397307984032077,0.3054124477698232,111055759749.56873,0.599466992015042,0.6980749797734026,5.555555555555555,1.6476515151515152,0.1431818181818182,13.0,2.1779461279461274,0.6041034005869581,0.7978642684826035,0.3140759446315001,0.2694201204511854,0.1287610939999999,0.0812479766666666,0.7446127946127947,0.6372895622895622,C2,C2,C2,no_discretization,at_least_M-of-N,3.24037034920393,0.1860033787170667,0.142373200150779,40407909921940.05,0.3011466502872926,0.2457695188078214,404079099219.40045,0.3244731196307269,0.8707837586066665,0.0474826193837197,0.0210185399611236,3371583671953.6685,0.1462709126125942,0.0676277876545986,33715836719.536697,0.1937507594438056,0.157096322712969,2.650995620097811,6.5,1.3228756555322951,8.860022573334675,0.5069988303719956,0.0706206480044689,0.0322608527965698,0.0982199051598647,0.1982634246141552,0.091852300145075,0.1066994666722043,0.2019690591829809,0.2024598278414834,843.0448798628422,0.3052377946127946
0,bolts,0.0,0.2945362907891997,0.240859207772806,191719133817487.1,0.6898815397101965,0.558939153961909,1917191338174.8704,0.47524156440675,0.3807186601020131,0.1321270045157506,0.0798361269644686,8210171484803.035,0.4069400353914916,0.2463808257989753,82101714848.03033,0.4355331431364861,0.8311542578360208,9.0,0.2885470085470086,2.35991452991453,24.33333333333333,2.7006647673314337,0.610487426266815,0.7802050945837059,0.2218806056769019,0.7936117366666666,0.7502233376666667,0.0329604324444444,0.778988603988604,0.734639126305793,C2,C2,C2,no_discretization,complex,0.0,0.1391906018354874,0.1045840403781863,260974338773530.25,0.3327951629456453,0.2059641531766169,2609743387735.3022,0.2541477895823649,0.5893015489517479,0.0352511235631678,0.0183565190993518,3070478120683.582,0.0974546412615189,0.0527524393323875,30704781206.83582,0.1354052891470339,0.0840599006113287,2.39791576165636,2.29128784747792,5.612486080160912,7.516648189186454,0.4542866884816376,0.0322439055709439,0.0199299968415525,0.0375590214956072,0.3214674657051622,0.3076353492184772,0.0141921917438494,0.0974637743147395,0.1072647680879744,466.50123324603845,0.2243839031339031
0,bolts,1.2075,0.2390623776190034,0.1913486979956199,127150546699047.22,0.5293831465674226,0.4301209523905147,1271505466990.4722,0.3993552944889955,0.516189779748166,0.2010920206586693,0.1126199467610133,9943673005457.637,0.6237427733430453,0.349802507115164,99436730054.57635,0.6694595368633021,0.6026263828986536,8.555555555555555,1.2431060606060604,0.1519191919191919,22.33333333333333,2.61391694725028,0.5312566304843974,0.748694253982925,0.2002307020825539,0.295589976840549,0.1726881089999999,0.0644113884444444,0.5879910213243547,0.4889169472502805,C2,C2,C2,no_discretization,exact_M-of-N,4.85912657903775,0.1567329447709528,0.1161011930644257,54491646935886.4,0.2729918625311121,0.2131601354003699,544916469358.864,0.2923203054256468,0.6038614916860888,0.0514834121854737,0.0310892393260835,6286309417637.636,0.1641475025709611,0.1006833638715202,62863094176.37635,0.1281588848153374,0.1921912972875148,2.242270674512285,6.132789830991366,0.5270462766947299,6.383572667401852,0.2927780773830358,0.0537169633014632,0.0287081393388619,0.0585947232047319,0.1579911181075272,0.0758746083625986,0.0774517735205911,0.147886208592551,0.1371124016160283,552.5771381994766,0.212152076318743
0,bolts,0.0,0.3144137938947933,0.246917631437995,145758101288583.44,0.7609784963680706,0.5763866383271324,1457581012885.8345,0.5263914286765408,0.1585875319401733,0.1659031396529414,0.0906856810776199,7615038490287.705,0.517277719174333,0.2827930502213247,76150384902.87704,0.5899115068846932,0.7085303503618946,9.333333333333334,2.234191919191919,0.0,22.666666666666668,2.4044051627384966,0.5980420079830006,0.7897887809411137,0.2408303716174086,0.086239853,0.0771996185555555,0.0066421026666666,0.8561728395061728,0.7648148148148147,C2,C2,C2,no_discretization,plain,0.0,0.1973415477771036,0.1635993050359112,160468440853373.4,0.4906140033939564,0.3306187378678404,1604684408533.7336,0.3332311212021773,0.873562718394303,0.0621919029762352,0.033115454529025,1617338086366.8518,0.2062262895311659,0.1101397376003089,16173380863.66852,0.1596246194165334,0.2182652793386412,1.5811388300841895,0.6666666666666666,4.65772953749404,5.220153254455275,0.2288501344849536,0.0311583611812534,0.0219602263227732,0.0548908952786263,0.0154983267242185,0.0130217008185488,0.0025256843044861,0.1223624336050503,0.1893784505451035,455.01927010789205,0.2473028900112233
