dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure,variant,model_type,M-of-N count (std),BAcc (test) (std),BAcc (train) (std),Acc (test) (std),Acc (train) (std),rules (std),conditions_count (std),avg conditions per rule (std),avg rule quality (std),avg rule precision (std),avg rule coverage (std),training time total (s) (std),training time growing (s) (std),training time pruning (s) (std),rules_per_example (train)  (std),rules_per_example (test)  (std),voting_conflicts (train)  (std),voting_conflicts (test)  (std),negative_voting_conflicts (train)  (std),negative_voting_conflicts (test)  (std)
car,15.11111111111111,0.6754977036077515,0.6954716420743718,0.8457155232931548,0.848102609176432,45.55555555555556,207.55555555555557,4.3167934844574924,0.4991635586610776,0.8804176631107306,0.1380503589994731,1689926332.4408834,0.525665445888889,0.0816280629999999,5.709092027909343,5.585077145972428,701.8888888888889,76.66666666666667,267.55555555555554,30.666666666666668,C2,C2,C2,no_discretization,at_least_M-of-N,9.905105305402415,0.1164124692658121,0.0897844909057353,0.0520652983633886,0.0495743540819308,12.991450179936718,114.44224647296022,1.02666027515404,0.0290752073035223,0.0492832718699216,0.0593910197550504,7.387528634714072,0.1184262633787011,0.0218209700193095,2.016170379379785,1.8425426690936195,258.67520389691606,27.04163456597992,61.63219757381509,5.830951894845301
car,0.0,0.6415036761926713,0.7125603968796266,0.8618056489074098,0.8812523936661183,50.888888888888886,255.0,4.986895195806059,0.5099232050784326,0.8681686451612026,0.0642162796949513,0.2415873504444444,0.404369599,0.0647515888888888,3.234426819714349,3.2371958596585566,316.44444444444446,36.22222222222222,261.77777777777777,30.33333333333333,C2,C2,C2,no_discretization,complex,0.0,0.0914491461582256,0.0306283435314119,0.0192405762090915,0.0084113600823707,7.944250191875324,49.71418308692199,0.2172526535237882,0.0086628537105795,0.0080761397959546,0.0066853626441356,0.0572785630625736,0.0645070824118642,0.0151311178356081,0.3634212483402627,0.4179087335804667,15.009256403225905,2.279132388529557,15.048071120394283,2.692582403567252
car,11.333333333333334,0.7587551337551338,0.7994773615620441,0.8997326402891667,0.9047591363423036,45.55555555555556,212.55555555555557,4.445617436065927,0.5044702534026402,0.8895856387715442,0.1083757470068722,0.700514899359809,0.5101087144444445,0.071251646111111,4.522110632607497,4.498327134770205,757.6666666666666,82.77777777777777,231.44444444444449,26.0,C2,C2,C2,no_discretization,exact_M-of-N,7.729812416870153,0.0930096065335607,0.0467331438225888,0.022815184645016,0.0192470073347123,13.068197189275104,111.72858979588786,0.9501962026102492,0.0252039057634408,0.0449220919911554,0.0393511443012085,0.1508132285626762,0.1383592838304543,0.0213429858110559,1.150129204633876,1.0172736486269451,290.36916158573035,30.38822871515292,25.889723400951542,4.47213595499958
car,0.0,0.6650709958126225,0.8388240187815678,0.8978170602380846,0.9506996622921702,135.22222222222223,599.7777777777778,4.4356698983481815,0.4381777703943176,0.8657126032635083,0.0141765462455218,0.4789117073333333,0.532616081,0.1182542504444444,1.918700674405384,1.8868276799450343,347.1111111111111,41.333333333333336,184.55555555555557,23.444444444444443,C2,C2,C2,no_discretization,plain,0.0,0.1173967282172009,0.0431897987197073,0.0212262430687139,0.0100581334430802,4.2654946306899095,19.305295761641272,0.0519069269286352,0.0048539195518776,0.0081896291340812,0.0011027216495425,0.02885034293451,0.0215224590816147,0.0282934034967076,0.1848726069146925,0.1594205726621823,116.66666666666669,13.294735800308333,58.32047477325419,7.2476049683863
cleveland,7.222222222222222,0.3380936819172113,0.965204389738952,0.5862604540023894,0.9775820584644114,85.88888888888889,249.33333333333331,2.903509977044896,0.5695304059089056,0.9988614124789672,0.0488642462731382,1689928213.707066,1.8684245817777776,0.0669623406666666,4.197746833776246,4.230943847072879,4.777777777777778,9.88888888888889,1.2222222222222223,4.111111111111111,C2,C2,C2,no_discretization,at_least_M-of-N,2.862594006219612,0.0680059058272969,0.0139840270449944,0.0298509505928086,0.0078968704921202,3.48010216963685,14.637281168304447,0.1363991907368176,0.005948003340441,0.0011808124450875,0.0061135931232744,55.890388311250426,0.6004190140519472,0.016190919902544,0.5639090443442455,0.7174665771542148,2.6352313834736494,2.848001248439177,1.7159383568311668,1.7638342073763935
cleveland,0.0,0.2770969498910676,0.945138353581902,0.5679808841099163,0.9584350834350835,67.55555555555556,187.88888888888889,2.7822650504886703,0.5723190269304143,0.9946421112953836,0.0547232560159605,2.040994038555556,5.102494208888889,0.0131348805555555,3.7012826498120623,3.73321385902031,15.333333333333334,9.666666666666666,7.0,4.222222222222222,C2,C2,C2,no_discretization,complex,0.0,0.0667909146113197,0.0154301938310421,0.0448877332433615,0.0096972197709333,3.0046260628866577,7.801353158978967,0.0661873283780693,0.003375694615727,0.0021255243867288,0.0052271692833288,0.4267294090167622,1.1446213884182903,0.0040319523524251,0.4309789474271863,0.4359344690070781,6.082762530298219,3.427827300200522,6.06217782649107,2.8185890875479607
cleveland,18.666666666666668,0.2976416122004357,0.9322450847070662,0.5786140979689366,0.9527295961119492,85.33333333333333,220.66666666666663,2.586536392108415,0.5599932648335963,0.989579711380744,0.0495135292559858,8.690381420983208,1.3103594251111113,0.1069180333333333,4.223962448227154,4.1124253285543615,26.22222222222222,10.22222222222222,13.333333333333334,4.222222222222222,C2,C2,C2,no_discretization,exact_M-of-N,5.0990195135927845,0.0677758721550956,0.0133909202666863,0.0288497070575652,0.008081474914562,2.598076211353316,9.300537618869134,0.0941536908398378,0.0050438438678651,0.0034835098046564,0.0053950318267244,2.7363887932594326,0.3660836374684638,0.0326527442507747,0.4693002590167512,0.4510557594788784,11.46492234794656,2.7738861628488727,8.760707733967616,2.8185890875479607
cleveland,0.0,0.2898202614379084,0.9069834359615464,0.5531660692951016,0.9282856304915128,89.77777777777777,383.0,4.2668223604735305,0.5845468959964388,0.990525455867548,0.0781193096555254,0.1277858706666666,0.3454562152222222,0.0239759572222221,7.018092065886183,6.99557945041816,22.88888888888889,10.555555555555555,6.777777777777778,5.222222222222222,C2,C2,C2,no_discretization,plain,0.0,0.0698651778067807,0.0151321482317508,0.0592767502706368,0.009670318493312,2.488864087178013,13.171939872319482,0.1192261628446921,0.0031395113086513,0.0024894016273507,0.0034243312600398,0.059424705505458,0.1481847497145113,0.0024050580936564,0.4594347125128846,0.7413209322589543,1.964971020425266,3.395258131243894,6.180165405913052,2.10818510677892
cylinder-bands,19.77777777777778,0.7775867457888848,0.9877065959098936,0.7921810699588477,0.9892546867855508,128.66666666666666,272.44444444444446,2.117757326529216,0.5335739927954306,0.9996945552738316,0.033185385803686,1689926470.6854208,1.976618981666667,0.0492884014444444,4.263374485596708,4.154320987654321,1.7777777777777777,17.0,1.0,8.777777777777779,C2,C2,C2,no_discretization,at_least_M-of-N,3.38296385503074,0.1030525189755414,0.0046332996886955,0.0983304464325555,0.0042140623207971,4.9749371855331,14.900596557781764,0.0900131219306503,0.0038772072531544,0.000367727196044,0.003263070428627,69.20532540526378,0.687041235688789,0.0110178631655404,0.3754171473357456,0.5979933293506489,2.386303510546059,3.0413812651491097,1.9364916731037085,2.773886162848873
cylinder-bands,0.0,0.7599553565104056,0.9902478490804324,0.7818930041152262,0.9917695473251028,96.44444444444444,190.22222222222223,1.9727574083406356,0.5290984500534338,0.9991687622185256,0.0311051043920311,5.087777383555555,6.418527744,0.0201775008888888,2.996342021033379,2.958847736625515,3.333333333333333,16.444444444444443,1.1111111111111112,9.77777777777778,C2,C2,C2,no_discretization,complex,0.0,0.0848964835703315,0.0021174108160512,0.0721852812563364,0.0017819452752766,4.639803635691685,9.79512350327674,0.0582490246977165,0.0019402318045852,0.0005006181159617,0.0020317386560486,1.161720399372512,1.282802541903686,0.0029979259241197,0.1864945076322915,0.3211211735599507,1.8708286933869709,3.7453675090407055,1.9649710204252664,3.3458099833141217
